		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.			Int. 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.	Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	Bar  	Lluvia	Lluvia	Calor 	Frío 	Int.	Int.	Int.	Int.  	Viento	Viento	ISS 	Arc.
10/01/15	8:35 a	22.4	22.4	22.2	74	17.6	3.2	SSE	0.27	6.4	S	22.4	23.1	23.1	1011.1	0.00	0.0	0.000	0.014	34.7	42	19.9	37.9	96	8	99.0	5
10/01/15	8:40 a	22.7	22.7	22.4	72	17.4	3.2	S	0.27	4.8	S	22.7	23.4	23.4	1011.1	0.00	0.0	0.000	0.015	34.7	42	19.9	37.9	100	8	100.0	5
10/01/15	8:45 a	22.3	22.8	22.3	74	17.4	4.8	S	0.40	12.9	SE	22.3	22.8	22.8	1011.3	0.00	0.0	0.000	0.014	34.7	42	19.9	37.9	99	8	100.0	5
10/01/15	8:50 a	22.2	22.2	22.1	76	17.7	4.8	SE	0.40	9.7	SE	22.2	22.8	22.8	1011.2	0.00	0.0	0.000	0.013	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	8:55 a	22.4	22.4	22.2	75	17.8	3.2	SSE	0.27	8.0	SE	22.4	23.1	23.1	1011.1	0.00	0.0	0.000	0.014	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	9:00 a	22.7	22.7	22.5	74	17.8	3.2	SSE	0.27	9.7	SSE	22.7	23.4	23.4	1011.0	0.00	0.0	0.000	0.015	34.7	42	19.9	37.9	98	8	100.0	5
10/01/15	9:05 a	22.4	22.7	22.4	74	17.6	4.8	SE	0.40	11.3	E	22.4	23.1	23.1	1011.0	0.00	0.0	0.000	0.014	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	9:10 a	22.3	22.5	22.3	75	17.6	4.8	SE	0.40	11.3	SE	22.3	22.8	22.8	1010.8	0.00	0.0	0.000	0.014	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	9:15 a	22.2	22.2	22.2	75	17.5	6.4	SE	0.54	12.9	ESE	22.2	22.7	22.7	1010.8	0.00	0.0	0.000	0.013	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	9:20 a	22.5	22.5	22.1	75	17.8	4.8	SE	0.40	9.7	E	22.5	23.2	23.2	1010.8	0.00	0.0	0.000	0.014	34.7	42	19.9	37.9	97	8	100.0	5
10/01/15	9:25 a	22.6	22.6	22.5	75	17.9	6.4	E	0.54	12.9	E	22.6	23.3	23.3	1010.8	0.00	0.0	0.000	0.015	34.7	42	19.9	37.9	98	8	100.0	5
10/01/15	9:30 a	22.5	22.5	22.4	75	17.8	6.4	ESE	0.54	11.3	E	22.5	23.2	23.2	1010.8	0.00	0.0	0.000	0.014	34.7	42	19.9	37.9	96	8	99.0	5
10/01/15	9:35 a	22.7	22.7	22.5	75	18.0	3.2	SE	0.27	8.0	S	22.7	23.4	23.4	1010.7	0.00	0.0	0.000	0.015	34.7	42	19.9	37.9	97	8	100.0	5
